ISO,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SLV,El Salvador,19.54%,17.57%,15.62%,16.62%,16.27%,15.08%,14.96%,12.73%,13.11%,12.52%,12.10%,12.83%,14.46%,15.36%,17.59%,19.28%,20.27%,23.63%,24.64%,24.55%,28.53%,27.71%,26.47%,27.62%,28.21%,28.56%,29.79%,30.81%,33.72%,25.74%,29.74%,35.56%,36.41%,32.73%,30.20%,29.18%,26.40%,26.39%,27.62%,26.16%,25.19%
GNQ,Equatorial Guinea,78.95%,69.82%,68.01%,43.44%,55.58%,34.94%,46.86%,53.90%,74.22%,72.70%,70.40%,65.43%,40.53%,41.75%,33.68%,59.47%,48.86%,32.89%,31.63%,37.81%,24.04%,20.07%,18.86%,28.24%,26.91%,37.32%,42.86%,39.85%,54.21%,33.22%,38.87%,47.24%,46.45%,47.56%,41.88%,30.94%,23.79%,21.18%,27.25%,22.81%,16.23%
ERI,Eritrea,,,,,,,,,,,,,,,4.06%,6.43%,9.21%,9.70%,10.67%,5.80%,7.20%,7.95%,9.46%,9.93%,9.75%,9.84%,7.33%,8.77%,9.87%,10.77%,12.49%,17.41%,20.77%,17.77%,14.87%,16.65%,11.29%,13.20%,16.13%,13.21%,13.27%
EST,Estonia,,,,,,,,,,,,,,13.58%,26.86%,40.34%,42.74%,45.35%,48.06%,46.95%,54.57%,48.99%,50.62%,55.82%,64.60%,71.42%,82.57%,77.90%,83.37%,65.86%,82.16%,111.80%,107.20%,102.68%,101.96%,77.57%,75.62%,75.53%,77.30%,70.14%,70.02%
SWZ,Eswatini,27.56%,23.53%,23.01%,14.42%,15.13%,12.84%,13.03%,13.05%,16.21%,12.84%,14.77%,14.64%,16.86%,12.12%,12.06%,10.62%,9.16%,9.07%,6.86%,8.47%,9.57%,10.04%,12.59%,15.30%,17.34%,17.34%,17.02%,15.83%,17.17%,14.73%,48.88%,43.15%,44.25%,42.46%,42.64%,37.03%,34.74%,42.55%,42.29%,42.11%,36.08%
ETH,Ethiopia,8.80%,9.91%,10.04%,9.34%,10.52%,11.69%,11.46%,9.18%,10.18%,9.06%,8.06%,6.67%,7.91%,6.67%,6.62%,7.94%,7.32%,7.22%,6.93%,5.64%,5.00%,3.88%,4.24%,6.53%,6.95%,7.71%,6.83%,7.34%,8.10%,7.39%,7.80%,7.80%,8.70%,7.66%,9.32%,9.78%,7.88%,7.20%,6.78%,6.29%,5.28%
FJI,Fiji,42.35%,36.09%,32.08%,29.11%,24.17%,22.47%,21.14%,21.43%,27.42%,28.54%,29.67%,28.11%,28.51%,27.21%,30.10%,30.51%,31.34%,30.79%,28.18%,30.41%,24.72%,22.89%,22.66%,25.61%,28.41%,31.35%,31.44%,30.19%,34.79%,27.14%,30.42%,35.00%,34.38%,36.64%,32.11%,26.49%,25.30%,24.66%,25.63%,25.60%,21.55%
FIN,Finland,48.73%,55.67%,47.48%,43.05%,40.60%,40.54%,44.47%,51.10%,53.29%,52.55%,55.65%,49.03%,51.29%,45.20%,55.23%,66.40%,64.64%,58.58%,56.57%,55.03%,55.77%,51.07%,50.84%,60.16%,68.62%,73.10%,79.42%,85.28%,92.15%,64.35%,69.06%,76.86%,72.02%,71.19%,69.92%,55.62%,51.16%,54.83%,58.35%,54.04%,50.16%
FRA,France,37.76%,33.73%,30.02%,26.88%,25.57%,25.28%,28.61%,33.10%,34.87%,34.78%,39.27%,37.89%,38.41%,32.61%,35.05%,40.08%,39.44%,38.13%,38.67%,38.07%,36.90%,35.33%,35.60%,40.79%,45.62%,46.18%,48.53%,52.83%,57.49%,46.68%,49.36%,54.53%,51.26%,49.37%,48.52%,41.04%,38.68%,40.18%,41.54%,39.44%,37.47%
GAB,Gabon,48.22%,40.46%,35.25%,31.29%,32.77%,31.56%,22.42%,24.83%,23.95%,22.25%,29.53%,28.92%,26.25%,23.54%,21.91%,22.73%,25.03%,26.98%,19.21%,28.86%,30.58%,27.38%,22.52%,26.28%,29.54%,33.19%,31.16%,40.72%,50.62%,32.58%,42.26%,58.64%,57.35%,60.38%,52.80%,35.60%,29.83%,28.61%,29.91%,28.38%,22.35%
GMB,The Gambia,18.63%,17.73%,14.74%,13.47%,13.27%,11.47%,14.88%,17.97%,21.78%,21.65%,24.58%,27.22%,35.57%,23.68%,22.59%,23.26%,23.74%,23.30%,20.26%,17.36%,13.94%,13.69%,15.05%,17.13%,17.45%,18.53%,20.01%,22.55%,22.35%,19.99%,18.99%,29.45%,26.38%,27.89%,30.28%,25.16%,25.20%,31.03%,27.36%,29.57%,29.09%
GEO,Georgia,,,,,,,,,,,,,,,8.82%,9.94%,13.13%,14.76%,12.72%,9.61%,11.82%,11.27%,11.19%,17.27%,19.45%,20.43%,25.46%,27.74%,35.74%,24.02%,27.34%,34.95%,31.53%,30.76%,28.96%,22.02%,20.35%,21.52%,22.30%,22.40%,20.40%
DEU,Germany,38.98%,33.69%,31.38%,29.04%,27.60%,27.72%,33.69%,39.04%,40.33%,39.14%,44.46%,42.44%,42.41%,37.14%,39.60%,46.74%,45.35%,42.88%,43.52%,44.23%,43.23%,41.93%,43.43%,51.92%,60.25%,62.66%,66.11%,73.93%,80.60%,65.34%,70.40%,76.86%,72.37%,71.10%,69.93%,60.53%,56.27%,57.90%,61.00%,57.34%,56.00%
GHA,Ghana,15.25%,15.43%,13.02%,10.37%,7.68%,8.59%,9.93%,10.70%,9.88%,9.61%,11.45%,9.97%,9.99%,10.26%,10.92%,11.45%,12.70%,11.89%,11.87%,10.82%,9.35%,8.17%,8.56%,10.15%,11.72%,11.80%,12.53%,15.42%,17.96%,13.76%,16.75%,23.03%,24.22%,22.71%,20.79%,19.31%,19.70%,19.62%,19.81%,17.80%,17.79%
