ISO,Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GHA,Ghana,13469,13148,12814,14533,15973,17268,18879,20831,22626,24316,26346,28126,30159,31887,33927,36188,38955,41361,43860,46465,49292,52388,56080,60679,66457,72464,77480,86069,91535,99783,116331,132459,139946,148487,142514,139277,145509,158336,171603,175212
GRC,Greece,90881,95406,98073,103651,109617,112399,112580,121547,131112,136019,144981,149319,150412,156696,163341,171093,181847,191057,199769,212242,225856,238431,256930,277201,287549,312994,331927,337248,325205,310789,285079,275156,284524,290196,289223,296000,307521,319814,331568,307909
GRD,Grenada,213,236,253,273,298,327,365,389,419,454,476,482,484,504,526,559,596,674,732,786,787,827,922,940,1098,1086,1184,1218,1147,1154,1187,1200,1286,1420,1551,1657,1798,1918,1989,1742
GTM,Guatemala,21156,21667,21947,22855,23436,23932,25402,27321,29512,31565,33612,35959,38063,40236,42888,44896,47542,50289,52903,55438,58013,61432,64210,67897,72157,78485,85469,90322,91586,95253,101565,107167,112026,118754,127566,130131,133805,141423,149483,149026
GIN,Guinea,3021,3266,3438,3612,3912,4115,4356,4794,5182,5608,5942,6277,6750,7170,7663,8151,8721,9141,9626,10088,10686,11416,11773,12373,13141,13876,15177,16113,15986,16855,18173,18497,19731,20152,20799,24399,29211,31761,34153,36373
GNB,Guinea-Bissau,479,530,532,581,626,632,684,722,772,837,929,980,1026,1079,1145,1210,1305,1023,1213,1253,1342,1413,1435,1491,1638,1733,1825,1945,2008,2145,2367,2307,2386,2510,3050,3288,3832,4056,4314,4261
GUY,Guyana,2078,2010,1849,1956,2026,2061,2110,2053,2028,2041,2237,2466,2731,3026,3246,3568,3854,3831,4002,4037,4219,4335,4386,4575,4626,5010,5506,5724,5959,6292,6772,7916,8370,8360,8594,8714,9307,9953,10673,15490
HTI,Haiti,10630,10971,11229,11658,12118,12395,12647,13166,13528,13972,14627,14624,14233,12851,14418,15290,15974,16507,17199,17736,18065,18520,19498,19776,21129,22149,24010,25084,26871,26150,28339,28318,29873,30563,31053,32799,32738,34083,34108,33244
HND,Honduras,5745,6015,6193,6695,7196,7394,8034,8700,9433,9795,10456,11296,12284,12382,13158,13878,14822,15424,15532,17037,17885,18850,20073,21898,23946,26291,28668,30462,29948,31427,33314,34844,36446,39876,43955,47719,52444,55689,58186,54180
HKG,Hong Kong SAR,43173,47164,51959,59219,61529,69737,81034,91032,96756,104222,113890,123749,134536,145703,152290,161682,172858,164521,171080,188307,193517,199835,209767,234155,259287,285920,312582,325443,319860,345487,369685,373483,385448,396044,411294,419811,442388,465904,468297,444862
HUN,Hungary,76365,83387,87279,92832,95525,98944,105499,109148,114263,114395,104200,103309,105147,110557,115744,117960,123766,130040,135969,145235,154467,164351,174240,187560,201610,216084,222426,229152,215430,220386,229348,230214,242367,253001,263642,273898,291996,315168,335482,322698
ISL,Iceland,2833,3073,3125,3372,3593,3895,4332,4481,4669,4900,5054,4995,5181,5482,5604,5967,6420,6971,7356,7895,8392,8573,8919,9874,10805,11835,13180,13733,12778,12560,13059,13472,14378,15059,16281,17938,19267,20660,21569,20379
IND,India,431979,474612,529148,569189,618044,660602,703784,798752,879436,962837,1005920,1085250,1163740,1267740,1392360,1524900,1614010,1733120,1906930,2027050,2173930,2294620,2522890,2794170,3148710,3544530,3996500,4232750,4626690,5160830,5618380,6153150,6477520,6781020,7159800,7735000,8276930,9029380,9562010,8907120
IDN,Indonesia,223696,242853,262946,293069,314147,343508,375138,415472,470986,532598,599771,653453,722155,793187,876387,962205,1024800,900298,920524,987954,1046410,1110790,1185500,1278670,1393550,1514700,1654080,1811740,1911390,2056980,2229510,2413440,2535040,2622250,2647710,2744900,2894130,3116960,3331810,3302410
IRN,Islamic Republic of Iran,246822,296373,350407,327170,330550,306732,323655,303262,331555,406152,465127,485753,503511,506602,522515,565153,571738,589217,599570,655064,674826,755789,840846,901231,958945,1037360,1152110,1177460,1198390,1282650,1344090,1204870,1168170,1180250,1066590,1114820,1172670,1128460,1070680,1100090
IRQ,Iraq,,,,,,,,,,,,,,,,,,79330,100395,98183,93746,87804,162580,256088,268488,292210,305727,337318,351375,378229,415269,483559,515106,490962,369519,346956,405430,418604,445084,401443
IRL,Ireland,28607,30828,31802,34005,35764,36638,38912,41492,45539,50886,53471,56647,59331,64169,71800,79762,89857,98882,110347,122676,132389,142330,150349,164247,179120,193787,209535,203941,195188,200350,205582,212811,221142,237867,325133,340307,377831,421522,454463,471357
ISR,Israel,32353,34841,37142,39333,42383,44772,49315,52874,55727,61647,66675,73074,77626,84842,94984,101645,107428,113186,118929,132408,135440,137364,141512,152284,163363,178008,193834,203956,207439,221520,236755,250708,275251,281527,297271,323076,338966,359191,378203,373689
ITA,Italy,677014,719964,755081,805897,853178,893939,944144,1016820,1091060,1154330,1210540,1247080,1265970,1319820,1383640,1426830,1478000,1521690,1568760,1664570,1734270,1766180,1801470,1876300,1950570,2045590,2131780,2152330,2054210,2113750,2173170,2172380,2187380,2200260,2241520,2420430,2529500,2614630,2668960,2461670
JAM,Jamaica,7036,7701,8334,8717,8912,9728,10736,10671,11610,12632,13168,13842,14484,15070,15774,16101,16110,16094,16487,16986,17581,17979,18985,19754,20551,21787,22696,22948,22334,22270,23059,23269,24136,24568,25418,26720,28040,29238,30049,27304
JPN,Japan,1219700,1337960,1439340,1558420,1691850,1783320,1913880,2115810,2305580,2508890,2682390,2766790,2817670,2903040,3041890,3194660,3281640,3276420,3312630,3480310,3570370,3628380,3752490,3937750,4133650,4317190,4498960,4530310,4304960,4533590,4629400,4799610,5021590,5034460,5200910,5159730,5248420,5404470,5515820,5313020
JOR,Jordan,10558,11798,12290,13444,13707,14747,15524,16407,15115,15847,16783,19445,20530,22026,23936,24537,26027,27180,28352,30223,32383,35198,37255,41365,46242,51871,57525,62716,66369,68696,72051,74340,79417,81884,87705,90249,97892,102181,106039,105206
KAZ,Kazakhstan,,,,,,,,,,,,120471,111979,99983,93708,95901,99214,98424,102541,115107,133512,148915,165787,186594,211069,240725,269192,283483,289072,313789,344049,369966,417452,427478,407416,423833,448473,478069,508501,501296
KEN,Kenya,17755,19805,20909,22010,23631,25789,27963,30712,33370,36050,37768,38212,39080,40925,43574,46212,47203,49158,50964,52284,55557,56707,59464,63895,69617,75923,83304,85121,88607,97171,105263,112204,125972,141101,160966,178316,203207,221233,237266,239836
KIR,Kiribati,59,63,64,67,66,68,70,80,80,82,85,88,91,95,97,99,103,111,111,120,121,128,133,134,145,150,157,157,159,159,165,176,187,189,211,224,230,245,259,261
KOR,Korea,97197,111807,131728,150882,167855,190631,220201,255294,284069,323809,370841,402804,440707,491837,550429,604736,653123,626596,708533,790005,846506,926326,973224,1051370,1130830,1226380,1332360,1399200,1421040,1535430,1625280,1684560,1726900,1792600,1933850,2026540,2105890,2219150,2304830,2310430
UVK,Kosovo,,,,,,,,,,,,,,,,,,,,7161,8128,8242,8876,9374,10037,10693,11892,12667,13223,13820,14726,15320,16009,16393,17125,17886,18860,20050,21416,20375
KWT,Kuwait,40895,39295,42980,46864,46287,51264,56809,52902,69213,52970,32305,60402,83557,92693,96217,98564,102764,107718,107319,114864,117629,123092,147114,167333,189931,210394,228991,239234,224001,221239,247607,276884,275264,258671,181157,176815,206275,213859,218605,203259
KGZ,Kyrgyz Republic,,,,,,,,,,,,9152,8150,6676,6446,7029,7859,8116,8535,9200,9902,10057,10964,12051,12404,13176,14686,16104,16695,16810,18184,20288,23124,24987,25107,28459,31280,33139,35238,32819
LAO,Lao P.D.R.,2192,2437,2609,2877,3238,3463,3515,3562,4068,4503,4841,5298,5742,6343,6932,7546,8206,8653,9132,9936,10639,11543,12484,13741,15152,17009,18837,20705,22402,24480,26987,31202,34600,39000,41583,46850,50445,54905,58485,58937
LVA,Latvia,,,,,,,,,,,,15944,14461,15095,15090,15761,17454,18770,19563,21134,22963,24979,27589,30740,35097,40493,45750,45088,38954,37671,40946,43550,45914,47459,49375,52334,55672,59303,61585,60073
LBN,Lebanon,17739,11906,15181,22726,29141,27714,33151,24639,14801,13294,18993,20300,22235,24533,26674,28259,31676,33282,33492,34618,36756,38607,39993,44150,46776,48939,54932,61079,67842,74106,76311,82065,88558,94101,98433,103936,109026,109493,103980,78931
